ID,Addon,Score Points,Title,North edge,East edge,South edge,West edge,Text,RU Text,Funny text,Notes
,,0,PR Guidelines,-,-,T,-,[TODO: add ability],,,
,,0,Code Style,-,C,-,-,[TODO: add ability],,,
,,0,Custom Fonts,-,-,-,R,[TODO: add ability],,,
,,1,*The* Crutch,C,R,T,C,,,NB: Don't change this line EVER!!!!!!,
,,1,*The* Crutch (2),C,R,T,C,,,NB: Don't change this line EVER!!!!!!,
,,1,*The* Crutch (3),C,R,T,C,,,NB: Don't change this line EVER!!!!!!,
,,1,Landing Page,T,C,R,T,,,Come on... This is so 2020...,
,,1,Press Release,R,T,C,R,,,...and then you never mention the Shiel Fellowship...,
,,1,RSS Feed,C,R,R,T,,,What? There are still users who do that?,
,,3,Cloud Database,C,R,-,-,,,"It's always in fashion. Besides, there's no way to migrate from that provider.",
,,3,REST API,-,T,C,-,,,Please keep it between us but we only use GET and POST methods in there.,
,,3,Brand Book,-,-,R,T,,,How much did we pay for this?,
,,3,Paywall,R,-,-,C,,,Doesn't matter if 80% hate us as long as 20%... uhm... still don't pay us???,
,,3,AI Assistant,T,C,-,-,,,We proudly announce that 99% of our users are stuck in the infinite loop and cannot reach a human support operator.,
,,3,Collab With Ony Jive,-,R,T,-,,,Let's call it Liquid Hair. It will make people wonder. And it's disgusting.,
,,5,Data Cleanup Pipeline,R,C,-,T,,,"The pinnacle of our data mining expertise. We clean up data, then we throw it away.",
,,5,Login Page,-,R,T,C,,,"Finally, in our third year after incorporation, we added a login page for our 5 users. They can choose their username with a dropdown!",
,,5,foe.com,C,-,T,C,,,Schavi Iffman bought the coolest domain. The is the close second.,
,,8,The LLM Executive,T,-,-,-,,,It just shorted Bitcoin with all our money.,
,,8,GDPR Compliance Checker,-,-,C,-,,,"It might look unimportant but without it, your entire business will be brought down.",
,,13,New Chair for the CEO,-,R,-,C,,,"Chair, not chain.",
,,13,Server Farm,C,-,T,-,,,We're undefeatable now.,
